seed,episode,total_reward,epsilon,mean_loss,std_loss,return_ma50,return_std50,wall_clock_s
0,1,-5147.0,1.0,,,-5147.0,,0.0674698000002536
0,2,-5352.0,0.997625,,,-5249.5,102.5,0.10706999999820255
0,3,-5119.0,0.99525,,,-5206.0,103.86850661613782,0.14954489999945508
0,4,-5111.0,0.992875,,,-5182.25,98.9125244850216,0.1887676999976975
0,5,-5568.0,0.9905,,,-5259.4,177.86354320096066,0.2293169999975362
0,6,-4946.0,0.988125,,,-5207.166666666667,200.01118024306095,0.2717265999963274
0,7,-5043.0,0.98575,,,-5183.714285714285,193.88045969891147,0.3105082999973092
0,8,-5336.0,0.983375,,,-5202.75,188.22177743289961,0.3485906999994768
0,9,-4503.0,0.981,,,-5125.0,282.58017544681996,0.3886636999959592
0,10,-5345.0,0.978625,,,-5147.0,276.0840451746533,0.4274516999939806
0,11,-5280.0,0.97625,,,-5159.090909090909,265.9981047592956,0.4661446999962209
0,12,-5940.0,0.973875,,,-5224.166666666667,333.82950571944485,0.5063005999982124
0,13,-4817.0,0.9715,,,-5192.846153846154,338.58730180965966,0.5443844999972498
0,14,-5139.0,0.969125,,,-5189.0,326.56546051289627,0.5820972000001348
0,15,-5781.0,0.96675,,,-5228.466666666666,348.3417606636078,0.6212163999953191
0,16,-5457.0,0.964375,,,-5242.75,341.78694021275885,0.6598161999936565
0,17,-5865.6,0.962,,,-5279.388235294118,362.52504965353444,0.6988903999954346
0,18,-5156.0,0.959625,,,-5272.533333333334,353.4428949632458,0.742310699999507
0,19,-5351.0,0.95725,,,-5276.663157894737,344.46196063842785,0.782365299994126
0,20,-5363.0,0.954875,,,-5280.9800000000005,336.26686961400173,0.8209260999938124
0,21,-5016.0,0.9525,,,-5268.361904761905,332.9792650146631,0.8606191999933799
0,22,-4865.0,0.950125,,,-5250.027272727273,335.9981292992001,0.8991355999969528
0,23,-5415.0,0.94775,,,-5257.2,330.33033795567894,0.9406264999997802
0,24,-4967.0,0.945375,,,-5245.108333333334,328.5336156274153,0.9808667999968748
0,25,-5209.0,0.9430000000000001,,,-5243.664000000001,321.9736472197686,1.0234995999999228
0,26,-5445.0,0.940625,,,-5251.407692307693,318.08639600813456,1.0617110999955912
0,27,-5897.0,0.93825,,,-5275.318518518518,335.10670609804174,1.1008815999957733
0,28,-5536.0,0.935875,,,-5284.628571428571,332.60516581455954,1.140891199996986
0,29,-5234.0,0.9335,,,-5282.88275862069,326.95082206283325,1.180865399997856
0,30,-5925.0,0.931125,,,-5304.286666666667,341.4956854127964,1.2285455999954138
0,31,-5257.0,0.92875,,,-5302.761290322581,336.04641545517273,1.2695763999945484
0,32,-6021.0,0.926375,,,-5325.20625,353.57500082859013,1.3105751999974018
0,33,-5816.0,0.924,,,-5340.078787878788,358.1970067025295,1.349917599996843
0,34,-4773.0,0.921625,177.32772681826637,7.12117513964993,-5323.400000000001,365.66572327259576,1.503998699998192
0,35,-6075.0,0.91925,174.78126831054686,11.033233937590156,-5344.874285714286,381.53639807109,1.654188399996201
0,36,-5267.0,0.916875,167.81766560872396,11.308488173601907,-5342.711111111112,376.4175708628929,1.8044898999942234
0,37,-4870.0,0.9145,149.48611297607422,12.460151926299192,-5329.935135135135,379.12642134269254,1.961350899997342
0,38,-5241.0,0.912125,117.85899403889974,12.722016229062248,-5327.594736842106,374.3754279128516,2.1266043999930844
0,39,-5119.0,0.9097500000000001,80.7835013071696,12.378008811584698,-5322.246153846154,371.0124953636688,2.276312699999835
0,40,-5382.0,0.907375,64.27711308797201,11.739671927456344,-5323.74,366.4642498252729,2.42646429999877
0,41,-5479.0,0.905,103.64809951782226,14.349154347112586,-5327.526829268293,362.7590606855446,2.5899664999960805
0,42,-5496.0,0.902625,69.52546679178873,8.212072385207891,-5331.538095238096,359.3336093861346,2.7504489999992074
0,43,-5116.0,0.90025,63.56027603149414,5.6879975545798755,-5326.525581395349,356.61337548968964,2.915213499996753
0,44,-4993.0,0.897875,62.94226964314779,6.328962684066103,-5318.945454545455,356.024591499051,3.0734850999942864
0,45,-4853.0,0.8955,63.962466430664065,4.998739552085372,-5308.591111111111,358.683860692097,3.2407681999975466
0,46,-5437.0,0.893125,64.23920516967773,6.643133330652969,-5311.382608695652,355.2575742266006,3.404404099994281
0,47,-4937.0,0.89075,75.69892018636068,19.43184605272634,-5303.417021276596,355.5859888338643,3.5632385999997496
0,48,-5557.0,0.888375,80.57592404683432,9.897056014117352,-5308.7,353.72159014305777,3.7294966999979806
0,49,-5201.0,0.886,75.16349360148112,6.491041464098118,-5306.502040816326,350.42460570221,3.894241999994847
0,50,-4771.0,0.883625,74.26019070943197,9.006521840174875,-5295.7919999999995,354.9112564233488,4.058339699993667
0,51,-5923.4,0.88125,70.69096132914225,7.887423991213966,-5311.32,364.9053795163892,4.224037499996484
0,52,-5558.0,0.878875,75.72498016357422,7.998631176827862,-5315.44,366.50086602899046,4.388250599993626
0,53,-5812.0,0.8765000000000001,71.79555053710938,8.157460546171782,-5329.3,371.87423734375574,4.549141799994686
0,54,-5364.8,0.874125,99.26163571675619,20.857926941511064,-5334.376,370.5897864539712,4.713403099995048
0,55,-4374.0,0.87175,86.52113469441731,11.865784156657101,-5310.496,392.5829507046887,4.872256599999673
0,56,-4950.0,0.869375,87.6406494140625,11.595690602320474,-5310.576,392.50906667744636,5.035742799998843
0,57,-5254.9,0.867,82.97761942545573,10.000094516356793,-5314.814,390.7370788701784,5.180273399993894
0,58,-5421.0,0.864625,97.12072321573893,11.46622097547523,-5316.513999999999,391.0103671311031,5.340513600000122
0,59,-5426.0,0.86225,95.68707478841146,14.744431550429633,-5334.974,373.56656531868583,5.505158399995707
0,60,-5476.0,0.859875,83.22952334086101,15.241528959208578,-5337.594,374.0867153000758,5.664485799999966
0,61,-4779.0,0.8575,123.68920491536458,22.224061763843384,-5327.5740000000005,382.11866471555663,5.826206899997487
0,62,-5126.0,0.855125,94.29226938883464,14.709331604433691,-5311.294,372.90878906778266,5.991197299998021
0,63,-5498.0,0.85275,94.42112681070964,12.56653257739506,-5324.914000000001,366.99606537945334,6.146904199995333
0,64,-4959.0,0.850375,96.02221501668295,14.840643043875575,-5321.314,369.6751720145674,6.356094999995548
0,65,-5174.0,0.848,92.48595911661783,14.404226926966528,-5309.174,364.3077780174341,6.505648399994243
0,66,-5065.0,0.8456250000000001,94.80953852335612,13.414165981482107,-5301.334,365.25889427089936,6.65363759999309
0,67,-5038.0,0.84325,121.32450002034506,34.184260209747364,-5284.781999999999,357.99310702302637,6.819775099997059
0,68,-5624.0,0.840875,110.50171864827475,19.708782329315838,-5294.142,360.6121684524802,6.982357599998068
0,69,-5851.0,0.8385,103.22595520019532,18.97578061098177,-5304.142,368.8879179859378,7.202198899998621
0,70,-5102.0,0.836125,96.4946050008138,16.96231624509043,-5298.922,369.86347496880524,7.3468486999991
0,71,-4870.0,0.83375,99.86078440348307,13.695390245733133,-5296.0019999999995,372.651376216431,7.51453649999894
0,72,-4337.0,0.831375,104.04557622273764,14.880168762554659,-5285.441999999999,391.7090461503283,7.671702799998457
0,73,-5253.0,0.829,98.77972157796223,17.482580411073638,-5282.201999999999,391.2937814430482,7.831701199997042
0,74,-5716.0,0.8266249999999999,119.71899490356445,28.14040814515126,-5297.182,393.2721590400215,7.9934498999937205
